index,length,mean,var,entropy,lumpiness,stability,flat_spots,hurst,std1st_der,crossing_points,binarize_mean,unitroot_kpss,heterogeneity,histogram_mode,linearity,trend_strength,seasonality_strength,spikiness,peak,trough,level_shift_idx,level_shift_size,y_acf1,y_acf5,diff1y_acf1,diff1y_acf5,diff2y_acf1,diff2y_acf5,y_pacf5,diff1y_pacf5,diff2y_pacf5,seas_acf1,seas_pacf1,firstmin_ac,firstzero_ac,holt_alpha,holt_beta,hw_alpha,hw_beta,hw_gamma,month,zone
0,9094,41.73792500549829,2978.15796166097,0.7741486533381915,551676067.4260913,1281.506579136568,6,0.04676982053474278,26.24285569513986,797,0.22355399164284143,12.724653289149623,4012.3924884149496,-10.88,0.0874683726562338,0.7192204180919706,0.3148759809007763,5.27133901501728,6,4,8439,119.60950000000003,0.7359727548555232,1.273755294879325,-0.12430951856668386,0.06294002193006978,-0.4860137512377276,0.2390230369519036,0.5630192309690055,0.1287314058276378,0.5893665732134779,0.3477415202351845,-0.004470198571743785,5,928,0.7831773247766349,0.021734352075435403,,,,Jan,CAPITL
1,8236,62.901324672170986,3792.912457315151,0.8223655076026901,452267093.50195795,1277.2524931222,5,0.13522240721183065,26.89774450374219,843,0.4076007770762506,5.8526380059630805,4842.195336507939,-11.18,0.013656374503575881,0.7797910592999806,0.3145505149274793,1.336739692026101,0,4,2676,86.05500000000006,0.759614412270723,1.550633243960873,-0.20685707300836673,0.0578731861836184,-0.5474383282687176,0.30458119922952204,0.591049686219888,0.08694410356030158,0.6421890508405227,0.2785186000976165,-0.01552468356461931,9,889,0.7091059420643947,0.025665715736867906,,,,Feb,CAPITL
2,9100,36.55386483516514,1895.850091337788,0.7868773975345714,37994296.29567515,836.2280658522225,10,0.08095408840096197,20.074640174543717,710,0.26857142857142857,4.428806103578199,2331.36113002667,-11.44,0.0800743284442514,0.7620921438106545,0.3683277496964199,0.3598971758741112,3,0,398,60.170500000000004,0.7431648073589819,1.408829884235594,-0.17235332536930983,0.0644084256328719,-0.5143113205640422,0.27868349631033335,0.5739659043099243,0.11621844802703035,0.60056142927687,0.36473739979206476,0.06536583639293635,9,1245,0.7357142857142857,0.0001,,,,Mar,CAPITL
3,8827,31.126418941882868,947.3229887507367,0.8700407152473034,17762387.91745955,297.8249346308118,12,0.05681393819331397,17.241504890985144,968,0.31256372493485896,1.5270696020082961,488.12185134414574,-31.00400000000002,0.0004595081718277096,0.6453392045338043,0.34670460320302676,0.3895950383489582,6,2,7873,58.17450000000001,0.5775314038929765,0.7771636729186111,-0.25720539144886134,0.14036959618527686,-0.5024698371319741,0.2965894058999695,0.38420795480130265,0.21536546016843686,0.760390678699973,0.2150762646450323,0.03528321438827796,2,173,0.40573363722232614,0.00011321326946792954,,,,Apr,CAPITL
4,9157,28.294114884787557,380.0426169216033,0.8787275150232822,1776156.2411046103,115.09203647238508,11,0.04194784531148411,11.079597444103781,825,0.4226274980888937,3.445405017495642,483.6004519982397,-44.73000000000002,0.011489042649050213,0.569951018848015,0.31931744201757584,0.04870085784387762,3,0,6485,22.0795,0.447039654964288,0.5514965923156501,-0.41582679967717034,0.17677230241675887,-0.6288306430551299,0.4082633559490743,0.2615599521830096,0.30907953878878713,0.896737290266037,0.21362417127737665,0.040608325653829117,7,383,0.19357151688310711,0.00010085640931426567,,,,May,CAPITL
5,8813,40.208603199818555,1366.3134375020245,0.7278504658987405,13969242.299353922,818.8011235326235,6,0.14540486029470648,13.237741274137091,478,0.2690343810280268,8.963888001638727,4968.870284053572,4.890000000000001,0.009517439784783152,0.8551922278068349,0.2926654576365192,0.09230753987285106,2,4,3554,37.017000000000024,0.8310663922075048,2.39704895699118,-0.24070410773900192,0.06710092564242309,-0.5709246362110825,0.3350679191503721,0.7297044798228496,0.08521651362377179,0.6801587616272806,0.4649826103012703,0.036284952079010224,11,432,0.6881271243377305,9.990573031688691e-05,,,,June,CAPITL
6,7306,35.74821516561726,430.2634048899184,0.8318546184620885,4625915.521175111,177.82383471633455,8,0.06849427707859197,10.344672967551597,508,0.3995346290719956,2.609527106745007,76.67649335120454,-45.66999999999996,0.026594912424202803,0.6657754536652397,0.32754651509964716,0.2850453328062177,2,3,1995,47.97149999999999,0.531602857644389,1.0189670006705382,-0.46897281895635823,0.2259877474807037,-0.6769074471848449,0.5069427466464452,0.40796845002588916,0.3386855514455248,0.9412622597923657,0.3420862816857524,0.02396212645339131,5,381,0.26515579542884926,0.012351864824466183,,,,July,CAPITL
0,9094,23.335312293820156,1773.3437595846779,0.8977156886771711,454468850.2784226,389.73024269570953,9,0.05941664239124577,22.88946520331905,692,0.3369254453485815,1.339308590200607,4335.906003719638,-192.195,0.00021525403811098869,0.6413574628319979,0.33814510415002463,3.444119386726332,0,6,8419,112.84449999999998,0.6935199533330397,0.740146739532957,-0.036009065793346846,0.06598182207794871,-0.4297142257528107,0.19564451759939874,0.5018392762492242,0.1051957382045582,0.4980100748000788,0.1107390902934393,-0.005450380460562482,5,61,0.9242857142857143,0.02254355400696864,,,,Jan,CENTRL
1,8236,31.37403593977656,2512.7096564163794,0.8043790043297655,192830346.11924046,883.9635253396253,6,0.12134583581236684,21.418570132981078,459,0.37773190869354056,10.470844861538499,3751.2067586480653,-128.10400000000004,0.0002137524238068009,0.7844324656283405,0.3039105477096372,1.0264633749900163,6,1,2660,64.84750000000005,0.7336673027022574,1.6323821540840486,-0.31439235125157644,0.10120888464029869,-0.6050816467838953,0.37443604037773304,0.5890457254184354,0.12963568692939925,0.751010198397581,0.2886174255930907,0.018854639247488817,9,955,0.5942857142857142,0.018008658008658005,,,,Feb,CENTRL
2,9100,15.944771428571388,896.421659563147,0.8083898788103451,11251235.4626084,382.48973779141676,22,0.10851759351549778,13.095652870640375,582,0.3769230769230769,1.9747023057815707,2501.92914505885,-26.17,0.01631246380721663,0.7719581608235858,0.3369502331246036,0.0688923325655181,1,3,1976,34.390499999999996,0.737720861286614,1.470187415226234,-0.27052061399776844,0.0946249146482431,-0.5920962467852767,0.36947371202179363,0.579202611289297,0.12777984730695752,0.6657405347369453,0.3184699697328621,0.07327862203334638,8,488,0.6650176745053767,9.999738170814262e-05,,,,Mar,CENTRL
